X,Y,Mag
4883400.24,652755.91,55097.8667
4883400.27,652756,55097.8248
4883400.29,652756.1,55097.8551
4883400.3,652756.18,55097.8232
4883400.33,652756.29,55097.7516
4883400.34,652756.38,55097.7173
4883400.37,652756.48,55097.6808
4883400.38,652756.58,55097.6323
4883400.41,652756.68,55097.6101
4883400.42,652756.78,55097.5853
4883400.42,652756.78,55097.5689
4883400.47,652756.99,55097.6156
4883400.49,652757.09,55097.6776
4883400.51,652757.18,55097.6999
4883400.53,652757.28,55097.7254
4883400.55,652757.38,55097.7966
4883400.57,652757.48,55097.8821
4883400.58,652757.56,55097.9073
4883400.61,652757.66,55097.8745
4883400.62,652757.76,55097.8819
4883400.63,652757.84,55097.9432
4883400.65,652757.95,55097.9932
4883400.66,652758.04,55098.0406
4883400.67,652758.14,55098.0865
4883400.7,652758.24,55098.0854
4883400.71,652758.35,55098.0869
4883400.72,652758.45,55098.1508
4883400.75,652758.55,55098.2377
4883400.76,652758.66,55098.3357
4883400.78,652758.75,55098.4257
4883400.79,652758.86,55098.4416
4883400.8,652758.95,55098.4174
4883400.82,652759.06,55098.4228
4883400.83,652759.15,55098.4378
4883400.84,652759.25,55098.4272
4883400.86,652759.35,55098.4017
4883400.87,652759.45,55098.3944
4883400.88,652759.54,55098.4251
4883400.91,652759.65,55098.4921
4883400.92,652759.74,55098.5779
4883400.93,652759.84,55098.651
4883400.96,652759.94,55098.6997
4883400.97,652760.04,55098.7195
4883400.99,652760.14,55098.6899
4883401,652760.25,55098.6383
4883401.01,652760.35,55098.6244
4883401.03,652760.46,55098.6771
4883401.05,652760.56,55098.7609
4883401.06,652760.68,55098.8044
4883401.09,652760.78,55098.8514
4883401.1,652760.88,55098.9963
4883401.13,652760.99,55099.1831
4883401.14,652761.09,55099.3199
4883401.17,652761.19,55099.4145
4883401.18,652761.3,55099.4889
4883401.19,652761.41,55099.5588
4883401.22,652761.52,55099.6844
4883401.24,652761.63,55099.9234
4883401.26,652761.74,55100.247
4883401.28,652761.84,55100.5722
4883401.31,652761.95,55100.9132
4883401.33,652762.05,55101.3602
4883401.34,652762.15,55101.9287
4883401.36,652762.25,55102.6323
4883401.36,652762.34,55103.525
4883401.37,652762.44,55104.5561
4883401.39,652762.54,55105.7841
4883401.4,652762.62,55107.5278
4883401.41,652762.73,55109.9223
4883401.43,652762.82,55112.8902
4883401.44,652762.91,55116.3451
4883401.45,652763.01,55120.1403
4883401.47,652763.1,55124.4295
4883401.48,652763.2,55129.4764
4883401.49,652763.29,55134.9344
4883401.51,652763.39,55140.0474
4883401.52,652763.48,55144.1602
4883401.52,652763.58,55147.0187
4883401.53,652763.68,55148.7861
4883401.55,652763.78,55149.5728
4883401.55,652763.88,55149.2453
4883401.56,652763.97,55147.4628
4883401.58,652764.08,55143.8715
4883401.59,652764.17,55138.9673
4883401.6,652764.26,55134.019
4883401.62,652764.36,55129.4739
4883401.63,652764.45,55124.9132
4883401.64,652764.55,55120.5726
4883401.66,652764.64,55117.071
4883401.68,652764.73,55114.3175
4883401.69,652764.83,55111.9643
4883401.71,652764.92,55109.9368
4883401.73,652765.02,55108.1773
4883401.76,652765.12,55106.6615
4883401.77,652765.22,55105.4957
4883401.78,652765.31,55104.6725
4883401.81,652765.41,55103.9746
4883401.82,652765.51,55103.2485
4883401.85,652765.6,55102.5983
4883401.86,652765.69,55102.1331
4883401.88,652765.78,55101.7733
4883401.9,652765.87,55101.4821
4883401.92,652765.97,55101.3396
4883401.93,652766.06,55101.3059
4883401.95,652766.15,55101.2005
4883401.95,652766.24,55100.9344
4883401.96,652766.33,55100.6188
4883401.97,652766.44,55100.4206
4883401.98,652766.53,55100.3505
4883401.99,652766.62,55100.3016
4883402.01,652766.73,55100.2851
4883402.02,652766.81,55100.3415
4883402.03,652766.91,55100.3307
4883402.04,652767.01,55100.1966
4883402.06,652767.11,55100.1392
4883402.08,652767.21,55100.2352
4883402.1,652767.31,55100.2967
4883402.11,652767.41,55100.2264
4883402.13,652767.52,55100.1404
4883402.15,652767.63,55100.1296
4883402.16,652767.73,55100.1672
4883402.19,652767.85,55100.2338
4883402.21,652767.96,55100.308
4883402.25,652768.08,55100.325
4883402.26,652768.19,55100.3186
4883402.29,652768.3,55100.3661
4883402.31,652768.42,55100.4394
4883402.32,652768.53,55100.5085
4883402.34,652768.64,55100.5235
4883402.34,652768.64,55100.396
4883402.38,652768.87,55100.2573
4883402.4,652768.99,55100.3435
4883402.43,652769.1,55100.5209
4883402.44,652769.21,55100.4889
4883402.44,652769.31,55100.4539
4883401.58,652769.48,55101.0893
4883401.56,652769.4,55101.2425
4883401.53,652769.32,55100.9953
4883401.5,652769.24,55100.6946
4883401.47,652769.15,55100.4694
4883401.45,652769.06,55100.3849
4883401.42,652768.97,55100.4667
4883401.39,652768.86,55100.5747
4883401.35,652768.75,55100.5538
4883401.33,652768.64,55100.4223
4883401.29,652768.53,55100.3426
4883401.24,652768.42,55100.3614
4883401.22,652768.3,55100.325
4883401.18,652768.19,55100.1864
4883401.15,652768.07,55100.0915
4883401.12,652767.96,55100.1009
4883401.1,652767.85,55100.1507
4883401.07,652767.74,55100.1613
4883401.05,652767.63,55100.0815
4883401.01,652767.52,55099.9639
4883400.98,652767.41,55099.8966
4883400.95,652767.3,55099.8851
4883400.92,652767.19,55099.8675
4883400.89,652767.08,55099.7821
4883400.87,652766.97,55099.6717
4883400.84,652766.86,55099.6215
4883400.83,652766.75,55099.5983
4883400.8,652766.63,55099.5468
4883400.78,652766.51,55099.4912
4883400.75,652766.39,55099.4277
4883400.73,652766.28,55099.3249
4883400.7,652766.16,55099.2001
4883400.68,652766.04,55099.063
4883400.65,652765.92,55098.9234
4883400.65,652765.92,55098.8285
4883400.6,652765.7,55098.7365
4883400.59,652765.58,55098.5467
4883400.56,652765.47,55098.3032
4883400.55,652765.35,55098.0878
4883400.53,652765.25,55097.8232
4883400.51,652765.14,55097.4038
4883400.51,652765.04,55096.8663
4883400.5,652764.94,55096.3203
4883400.49,652764.84,55095.7946
4883400.49,652764.73,55095.2047
4883400.49,652764.64,55094.4359
4883400.48,652764.54,55093.3879
4883400.46,652764.43,55092.0547
4883400.45,652764.33,55090.6074
4883400.44,652764.23,55089.0863
4883400.43,652764.13,55087.1398
4883400.42,652764.02,55084.4919
4883400.41,652763.92,55081.5224
4883400.39,652763.82,55079.0753
4883400.38,652763.72,55077.6201
4883400.35,652763.62,55077.0198
4883400.34,652763.51,55077.0974
4883400.32,652763.42,55077.642
4883400.29,652763.31,55078.2799
4883400.27,652763.22,55079.1584
4883400.23,652763.12,55080.8819
4883400.21,652763.03,55083.2331
4883400.18,652762.94,55085.2351
4883400.16,652762.85,55086.5315
4883400.13,652762.76,55087.5561
4883400.1,652762.67,55088.7327
4883400.06,652762.57,55090.1168
4883400.04,652762.49,55091.4713
4883400,652762.41,55092.5077
